epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,17039.7,0.65106,0.78097,1.1743,0.96171,0.94153,0.97494,0.75104,0.84713,0.38936,1.33265,0.000133091,0.000133091,0.000133091
69,17288.6,0.65463,0.78461,1.18496,0.96597,0.94409,0.97649,0.75104,0.83426,0.38722,1.29697,0.000126117,0.000126117,0.000126117
70,17537,0.64854,0.76542,1.18056,0.95698,0.95185,0.97723,0.76095,0.80908,0.37682,1.25354,0.00011928,0.00011928,0.00011928
71,17784.6,0.64559,0.75521,1.171,0.95222,0.94746,0.97626,0.75591,0.82723,0.38694,1.29227,0.000112588,0.000112588,0.000112588
72,18032.1,0.64014,0.75917,1.17097,0.96185,0.93865,0.97628,0.75453,0.83046,0.38299,1.29245,0.000106047,0.000106047,0.000106047
73,18280.2,0.64437,0.75912,1.16656,0.95317,0.94632,0.97385,0.74603,0.86471,0.39098,1.33997,9.96639e-05,9.96639e-05,9.96639e-05
74,18528.4,0.63789,0.75319,1.17317,0.94851,0.94409,0.97379,0.74667,0.85609,0.39278,1.33657,9.34442e-05,9.34442e-05,9.34442e-05
75,18776.3,0.62807,0.74564,1.16279,0.96236,0.93843,0.97469,0.75265,0.83982,0.38208,1.33496,8.73945e-05,8.73945e-05,8.73945e-05
76,19024.2,0.62633,0.73914,1.16408,0.95653,0.95554,0.97794,0.74575,0.871,0.39055,1.36539,8.15206e-05,8.15206e-05,8.15206e-05
77,19272.1,0.62944,0.71802,1.15597,0.96593,0.94534,0.97736,0.76085,0.80618,0.37577,1.27599,7.58284e-05,7.58284e-05,7.58284e-05
78,19519.8,0.62026,0.7141,1.15621,0.95695,0.95468,0.977,0.75722,0.8193,0.37311,1.29462,7.03236e-05,7.03236e-05,7.03236e-05
79,19767.3,0.63259,0.73311,1.1656,0.95881,0.93989,0.97469,0.76498,0.78821,0.36748,1.25667,6.50115e-05,6.50115e-05,6.50115e-05
80,20015.4,0.61912,0.70451,1.14594,0.96316,0.94366,0.97696,0.75398,0.83979,0.37878,1.31181,5.98973e-05,5.98973e-05,5.98973e-05
81,20263.2,0.61966,0.70703,1.15223,0.95004,0.95586,0.9779,0.76476,0.79955,0.36319,1.25853,5.49862e-05,5.49862e-05,5.49862e-05
82,20511.3,0.61021,0.7117,1.14746,0.94314,0.95817,0.9777,0.75765,0.82665,0.371,1.30214,5.0283e-05,5.0283e-05,5.0283e-05
83,20759.1,0.61166,0.7179,1.14481,0.95371,0.9467,0.97771,0.76265,0.79942,0.36804,1.27793,4.57923e-05,4.57923e-05,4.57923e-05
84,21007.6,0.61382,0.71256,1.14971,0.94685,0.95823,0.97732,0.75802,0.81961,0.36334,1.31113,4.15186e-05,4.15186e-05,4.15186e-05
85,21255.1,0.61506,0.70158,1.15162,0.94952,0.94922,0.97726,0.7516,0.8388,0.36989,1.3139,3.7466e-05,3.7466e-05,3.7466e-05
86,21502.8,0.60533,0.6978,1.14523,0.95555,0.94856,0.97745,0.76385,0.80153,0.36005,1.2701,3.36386e-05,3.36386e-05,3.36386e-05
87,21751.2,0.60189,0.69372,1.14607,0.95617,0.94817,0.97881,0.75842,0.83074,0.36367,1.30844,3.00402e-05,3.00402e-05,3.00402e-05
